X, Y
0.0, 0.0
7.071067811865476e-4, 7.071067811865476e-4
1.4142135623730952e-3, 1.4142135623730952e-3
2.121320343559643e-3, 2.121320343559643e-3
2.8284271247461905e-3, 2.8284271247461905e-3
3.535533905932738e-3, 3.535533905932738e-3
4.242640687119286e-3, 4.242640687119286e-3
4.949747468305833e-3, 4.949747468305833e-3
5.656854249492381e-3, 5.656854249492381e-3
6.363961030678928e-3, 6.363961030678928e-3
7.071067811865476e-3, 7.071067811865476e-3
7.778174593052023e-3, 7.778174593052023e-3
8.485281374238571e-3, 8.485281374238571e-3
9.192388155425118e-3, 9.192388155425118e-3
9.899494936611667e-3, 9.899494936611667e-3
1.0606601717798213e-2, 1.0606601717798213e-2
1.1313708498984762e-2, 1.1313708498984762e-2
1.202081528017131e-2, 1.202081528017131e-2
1.2727922061357855e-2, 1.2727922061357855e-2
1.3435028842544404e-2, 1.3435028842544404e-2
1.4142135623730952e-2, 1.4142135623730952e-2
1.48492424049175e-2, 1.48492424049175e-2
1.5556349186104046e-2, 1.5556349186104046e-2
1.6263455967290594e-2, 1.6263455967290594e-2
1.6970562748477143e-2, 1.6970562748477143e-2
1.767766952966369e-2, 1.767766952966369e-2
1.8384776310850236e-2, 1.8384776310850236e-2
1.9091883092036785e-2, 1.9091883092036785e-2
1.9798989873223333e-2, 1.9798989873223333e-2
2.0506096654409882e-2, 2.0506096654409882e-2
2.1213203435596427e-2, 2.1213203435596427e-2
2.1920310216782975e-2, 2.1920310216782975e-2
2.2627416997969524e-2, 2.2627416997969524e-2
2.3334523779156072e-2, 2.3334523779156072e-2
2.404163056034262e-2, 2.404163056034262e-2
2.4748737341529166e-2, 2.4748737341529166e-2
2.545584412271571e-2, 2.545584412271571e-2
2.616295090390226e-2, 2.616295090390226e-2
2.6870057685088808e-2, 2.6870057685088808e-2
2.7577164466275356e-2, 2.7577164466275356e-2
2.8284271247461905e-2, 2.8284271247461905e-2
2.8991378028648453e-2, 2.8991378028648453e-2
2.9698484809835e-2, 2.9698484809835e-2
3.0405591591021543e-2, 3.0405591591021543e-2
3.1112698372208092e-2, 3.1112698372208092e-2
3.181980515339464e-2, 3.181980515339464e-2
3.252691193458119e-2, 3.252691193458119e-2
3.3234018715767734e-2, 3.3234018715767734e-2
3.3941125496954286e-2, 3.3941125496954286e-2
3.464823227814083e-2, 3.464823227814083e-2
3.535533905932738e-2, 3.535533905932738e-2
3.606244584051392e-2, 3.606244584051392e-2
3.676955262170047e-2, 3.676955262170047e-2
3.747665940288702e-2, 3.747665940288702e-2
3.818376618407357e-2, 3.818376618407357e-2
3.8890872965260115e-2, 3.8890872965260115e-2
3.959797974644667e-2, 3.959797974644667e-2
4.030508652763321e-2, 4.030508652763321e-2
4.1012193308819764e-2, 4.1012193308819764e-2
4.17193000900063e-2, 4.17193000900063e-2
4.2426406871192854e-2, 4.2426406871192854e-2
4.31335136523794e-2, 4.31335136523794e-2
4.384062043356595e-2, 4.384062043356595e-2
4.4547727214752496e-2, 4.4547727214752496e-2
4.525483399593905e-2, 4.525483399593905e-2
4.596194077712559e-2, 4.596194077712559e-2
4.6669047558312145e-2, 4.6669047558312145e-2
4.737615433949869e-2, 4.737615433949869e-2
4.808326112068524e-2, 4.808326112068524e-2
4.879036790187179e-2, 4.879036790187179e-2
4.949747468305833e-2, 4.949747468305833e-2
5.020458146424487e-2, 5.020458146424487e-2
5.091168824543142e-2, 5.091168824543142e-2
5.161879502661797e-2, 5.161879502661797e-2
5.232590180780452e-2, 5.232590180780452e-2
5.3033008588991064e-2, 5.3033008588991064e-2
5.3740115370177616e-2, 5.3740115370177616e-2
5.444722215136416e-2, 5.444722215136416e-2
5.515432893255071e-2, 5.515432893255071e-2
5.586143571373726e-2, 5.586143571373726e-2
5.656854249492381e-2, 5.656854249492381e-2
5.7275649276110355e-2, 5.7275649276110355e-2
5.798275605729691e-2, 5.798275605729691e-2
5.868986283848345e-2, 5.868986283848345e-2
5.939696961967e-2, 5.939696961967e-2
6.010407640085655e-2, 6.010407640085655e-2
6.081118318204309e-2, 6.081118318204309e-2
6.151828996322963e-2, 6.151828996322963e-2
6.2225396744416184e-2, 6.2225396744416184e-2
6.293250352560273e-2, 6.293250352560273e-2
6.363961030678927e-2, 6.363961030678927e-2
6.434671708797583e-2, 6.434671708797583e-2
6.505382386916238e-2, 6.505382386916238e-2
6.576093065034892e-2, 6.576093065034892e-2
6.646803743153547e-2, 6.646803743153547e-2
6.717514421272203e-2, 6.717514421272203e-2
6.788225099390857e-2, 6.788225099390857e-2
6.858935777509512e-2, 6.858935777509512e-2
6.929646455628166e-2, 6.929646455628166e-2
7.00035713374682e-2, 7.00035713374682e-2
7.071067811865477e-2, 7.071067811865477e-2
